time,temperature_C,relative_humidity_pct,wind_speed_kmph,city,extracted_at
2025-12-09 00:00:00,16.5,64,2.0,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 01:00:00,15.9,62,1.9,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 02:00:00,15.5,61,2.2,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 03:00:00,15.1,60,2.2,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 04:00:00,14.9,61,2.2,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 05:00:00,13.7,70,1.8,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 06:00:00,13.5,69,2.4,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 07:00:00,14.5,70,3.4,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 08:00:00,18.3,67,2.3,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 09:00:00,21.9,50,6.9,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 10:00:00,24.5,42,9.4,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 11:00:00,26.6,36,11.6,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 12:00:00,27.9,32,12.7,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 13:00:00,28.7,27,13.1,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 14:00:00,28.8,23,13.5,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 15:00:00,28.2,24,13.0,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 16:00:00,26.9,26,12.2,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 17:00:00,24.1,34,7.4,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 18:00:00,21.1,42,5.9,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 19:00:00,19.0,50,4.8,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 20:00:00,17.8,52,4.3,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 21:00:00,17.2,53,4.3,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 22:00:00,16.7,53,4.1,Hyderabad,2025-12-09 10:50:16.966733
2025-12-09 23:00:00,16.2,54,3.6,Hyderabad,2025-12-09 10:50:16.966733
